category_id,category_name,sub_cat1,sub_cat2,sub_cat3
98,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,Home_Kitchen,Kitchen_HomeAppliances,WaterCartridges
99,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",Home_Kitchen,Heating_Cooling_AirQuality,ExhaustFans
100,Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,Electronics,Cameras_Photography,Macro_RinglightFlashes
101,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,Home_Kitchen,Kitchen_HomeAppliances,WetGrinders
102,"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",Computers_Accessories,Printers_Inks_Accessories,InkjetPrinters
103,OfficeProducts|OfficeElectronics|Calculators|Scientific,OfficeProducts,OfficeElectronics,Scientific
104,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",Electronics,HomeTheater_TV_Video,SpeakerCables
105,Computers&Accessories|NetworkingDevices,Computers_Accessories,NetworkingDevices,NetworkingDevices
106,Computers&Accessories|NetworkingDevices|DataCards&Dongles,Computers_Accessories,NetworkingDevices,DataCards_Dongles
107,Computers&Accessories|Accessories&Peripherals|LaptopAccessories,Computers_Accessories,Accessories_Peripherals,LaptopAccessories
108,"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",Computers_Accessories,Accessories_Peripherals,Cases
109,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,Home_Kitchen,Kitchen_HomeAppliances,WaterPurifierAccessories
110,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,Computers_Accessories,Accessories_Peripherals,CameraPrivacyCovers
111,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,Home_Kitchen,CraftMaterials,Pens
112,"Electronics|HomeTheater,TV&Video|Projectors",Electronics,HomeTheater_TV_Video,Projectors
113,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",Home_Kitchen,Kitchen_HomeAppliances,Wet-DryVacuums
